Feature,VIP,Important
33_LAC_0.0 : Conc. (nM),1.747137941191903,True
21_FUM_0.0 : Conc. (nM),1.5668482555475978,True
19_F16DP_0.0 : Conc. (nM),1.5651623058985398,True
48_SUCC_0.0 : Conc. (nM),1.5190034041003464,True
13_ATP_0.0 : Conc. (nM),1.476538517846003,True
32_KGA_0.0 : Conc. (nM),1.1878031903588684,True
DHAP_0.0 : Conc. (nM),1.1655651599032546,True
11_AMP 0.0 : Conc. (nM),1.162470723591705,True
54_UTP0.0 : Conc. (nM),1.1623272098561346,True
15_CMP 0.0 : Conc. (nM),1.0995020745367983,True
44_R5P_0.0 : Conc. (nM),1.0336106422592564,True
47_SHIK 0.0 : Conc. (nM),1.0229872715555586,True
28_GMP 0.0 : Conc. (nM),1.0155581554974025,True
10_ADP 0.0 : Conc. (nM),1.0030288852670202,True
6_6PG_0.0 : Conc. (nM),0.9833629659812714,False
SH7P 0.0 : Conc. (nM),0.9737825294604111,False
8_ACoA_0.0 : Conc. (nM),0.953819680643759,False
45_RL5P_0.0 : Conc. (nM),0.9127435515175204,False
55_X5P_0.0 : Conc. (nM),0.9091595974169436,False
53_UMP 0.0 : Conc. (nM),0.8976337471210826,False
57_G3P_0.0 : Conc. (nM),0.8337628110091345,False
35_NAD 0.0 : Conc. (nM),0.7866651084429721,False
49_UDP 0.0 : Conc. (nM),0.7726087563738268,False
2_3PG_0.0 : Conc. (nM),0.7503853100025755,False
51_UDPGA 0.0 : Conc. (nM),0.6561883172559443,False
23_G6P_0.0 : Conc. (nM),0.5359671207766393,False
CoA Neg 0.0 : Conc. (nM),0.517337539307298,False
4_3DHSA 0.0 : Conc. (nM),0.49145890114117124,False
34_MAL_0.0 : Conc. (nM),0.4627856356543096,False
22_G1P_0.0 : Conc. (nM),0.46016543447058883,False
30_ISO_0.0 : Conc. (nM),0.3461927734370163,False
20_F6P_0.0 : Conc. (nM),0.34571446500524045,False
31_CIT_0.0 : Conc. (nM),0.2559786250666834,False
